datetime,total_visitor,total_accomodation
1/1/2014,16870,17382
2/1/2014,16476,17592
3/1/2014,18776,18192
4/1/2014,19145,18472
5/1/2014,20299,18790
6/1/2014,18685,19102
7/1/2014,16174,19321
8/1/2014,18239,19623
9/1/2014,17124,19783
10/1/2014,17997,19982
11/1/2014,18324,20012
12/1/2014,19084,20281
1/1/2015,15366,20336
2/1/2015,14003,20459
3/1/2015,16338,20739
4/1/2015,16063,20979
5/1/2015,17355,21188
6/1/2015,15004,21637
7/1/2015,17134,22337
8/1/2015,18311,22814
9/1/2015,18167,23201
10/1/2015,15798,23644
11/1/2015,20255,24305
12/1/2015,16863,24620
1/1/2016,11674,25072
2/1/2016,14955,25362
3/1/2016,17894,26003
4/1/2016,18186,26586
5/1/2016,18386,26746
6/1/2016,14755,27403
7/1/2016,20424,27784
8/1/2016,19029,28299
9/1/2016,19907,28645
10/1/2016,20819,28889
11/1/2016,23126,29047
12/1/2016,21415,29495
1/1/2017,17129,29866
2/1/2017,11998,30162
3/1/2017,15844,30736
4/1/2017,21451,30893
5/1/2017,20447,31329
6/1/2017,19668,32042
7/1/2017,25252,32276
8/1/2017,25330,32436
9/1/2017,21890,32857
10/1/2017,20439,33201
11/1/2017,24360,33639
12/1/2017,23208,34108
1/1/2018,21532,34343
2/1/2018,19621,34786
3/1/2018,26391,35474
4/1/2018,26306,35634
5/1/2018,24420,35794
6/1/2018,27329,36203
7/1/2018,33390,36585
8/1/2018,34166,36921
9/1/2018,24835,37188
10/1/2018,25938,37644
11/1/2018,29992,37932
12/1/2018,26609,38144
1/1/2019,13792,38617
2/1/2019,17389,39308
3/1/2019,20497,39999
4/1/2019,18431,40482
5/1/2019,14529,41159
6/1/2019,22485,41624
7/1/2019,24913,41914
8/1/2019,29180,42390
9/1/2019,20462,42701
10/1/2019,20895,43243
11/1/2019,20780,43370
12/1/2019,20546,43623
1/1/2020,17047,44300
2/1/2020,11700,44451
3/1/2020,5774,45106
4/1/2020,21,45652
5/1/2020,12,46166
6/1/2020,97,46649
7/1/2020,76,47206
8/1/2020,24,47877
9/1/2020,20,48079
10/1/2020,52,48555
11/1/2020,69,48933
12/1/2020,85,49642
1/1/2021,20,50286
2/1/2021,69,50701
3/1/2021,52,51045
4/1/2021,108,51690
5/1/2021,160,51856
6/1/2021,181,52089
7/1/2021,52,52442
8/1/2021,10,52579
9/1/2021,2,53059
10/1/2021,37,53402
11/1/2021,0,53970
12/1/2021,0,54455
1/1/2022,0,54901
2/1/2022,0,55488
3/1/2022,57,56022
4/1/2022,1468,56597
5/1/2022,4598,57303
6/1/2022,4722,57656
7/1/2022,6087,58000
8/1/2022,8386,58532
9/1/2022,9152,59224
10/1/2022,9415,59679
11/1/2022,9644,60021
12/1/2022,14264,71203
